part,x_mm,original_area_mm2,original_Iy_mm4,original_Iz_mm4,original_Zy_mm3,original_Zz_mm3,candidate_area_mm2,candidate_Iy_mm4,candidate_Iz_mm4,candidate_Zy_mm3,candidate_Zz_mm3
Upper_arm_SO101,-27.5,773.0475343992875,227735.72536279878,34043.22083084336,9109.428790404698,2836.921370884465,773.0475343992904,227735.72536280056,34043.22083084354,9109.42879040477,2836.9213708844713
Upper_arm_SO101,-26.5,773.0478198559446,227735.80248939048,34043.252385279586,9109.431963829542,2836.9220721043607,773.0478198559495,227735.80248939322,34043.25238527982,9109.431963829655,2836.9220721043694
Upper_arm_SO101,-25.5,773.0478915254566,227735.83214041145,34043.26072199432,9109.433232644367,2836.921368359659,773.0478915254621,227735.83214041468,34043.26072199464,9109.433232644496,2836.921368359672
Upper_arm_SO101,-24.5,775.4929675483108,229190.35740879807,34236.98820133429,9084.52556068535,2846.552679773157,507.8548575370728,149880.9865607781,32854.69075403361,5940.902666930534,2728.3471388590015
Upper_arm_SO101,-23.5,778.8789791728572,231232.17682630738,34490.00416834549,9079.7048306209,2858.8950445631413,430.45764619919277,127940.43489520418,31438.767073700874,5023.785866738777,2595.1401262964446
Upper_arm_SO101,-22.5,782.7787760858657,233638.04801950848,34750.33000463678,9089.136107953182,2871.1785575064555,393.3577545121034,117799.0511560517,30498.390820015913,4582.671239272348,2502.1244970048383
Upper_arm_SO101,-21.5,787.192358287334,236414.53706906774,35013.415801928015,9112.679804192478,2883.215719733191,378.2150143408693,114144.54450135428,30113.35106337585,4399.739146178589,2456.1704852968787
Upper_arm_SO101,-20.5,792.1197257772653,239568.2684128562,35276.080283815405,9150.203641493132,2894.934703895827,378.857533368796,115279.81598414047,30259.210706872807,4403.059368167328,2454.710451740487
Upper_arm_SO101,-19.5,797.5608785556569,243105.92484594553,35536.52655348416,9201.58232300771,2906.377424380629,381.71588782973924,117124.4107944295,30481.14823694221,4433.16773932233,2459.7464917233447
Upper_arm_SO101,-18.5,804.5512321536299,247107.63783131717,35841.73681504521,9269.450228738984,2921.643428586827,387.33270084978,119747.60533287362,30821.57328858572,4491.944654832063,2474.7874975277646
Upper_arm_SO101,-17.5,817.2797153702131,251867.01621629516,36378.96328988379,9364.285389152989,2956.5036163589502,411.9955150715298,127773.03744342792,31920.11870587358,4750.502785283975,2553.037498859555
Upper_arm_SO101,-16.5,836.6806602654879,257416.73208299535,37190.65108557294,9486.581484774446,3014.651506416004,464.2829162771108,143644.7528962955,33889.26301237906,5293.706226433426,2704.8203586208965
Upper_arm_SO101,-15.5,863.2999589752133,263719.44379416306,38303.94741043486,9634.257245650697,3098.492155321532,567.4106489590657,173894.15599521293,36735.936692332034,6352.73541125073,2934.3649105172312
Upper_arm_SO101,-14.5,898.3495085030881,270722.44224643183,39769.74944482706,9804.746679933283,3212.4130426648953,898.3379751362479,270721.7597755295,39768.843012189,9804.721755107139,3212.338785614972
Upper_arm_SO101,-13.5,944.0964545596614,278341.85350151453,41678.574606310256,9994.45257230152,3364.1132432887234,944.0752566529663,278340.7210467042,41676.66678474932,9994.411711354815,3363.957100990275
Upper_arm_SO101,-12.5,1005.5087876279244,286455.0055848382,44211.587322923064,10198.518467652906,3568.939784555168,1005.494353226209,286454.11806461547,44209.92487557657,10198.486684842004,3568.8041965014577
Upper_arm_SO101,-11.5,1101.2549260196781,295693.58003858017,48066.68133402857,10438.88347641874,3889.6851311391615,1101.2437868716302,295692.9762125622,48065.439155512344,10438.8619918945,3889.583681658272
Upper_arm_SO101,-10.5,1230.9343192626798,304467.67150821973,53771.71145983916,10658.97773904981,4364.653537427092,1230.9230487124075,304467.34478036396,53770.502274469036,10658.966153081095,4364.554553735426
Upper_arm_SO101,-9.5,1266.31476655312,312983.1200906658,57025.296437897516,10866.450396541091,4632.107412865986,752.9503697086873,290865.10089343856,34257.973610667104,10098.534778092935,2735.641460484393
Upper_arm_SO101,-8.5,1291.387288419647,321495.4081633219,59323.522494382545,11070.409404740876,4821.154201685361,697.6225984665838,289796.0516941919,31585.927999889987,9978.87026601146,2513.943917351723
Upper_arm_SO101,-7.5,1309.8630558482982,330059.20841848216,60839.622337329,11272.806232113684,4946.09473225409,672.570051598065,292177.9399997304,30375.140776501823,9979.012668566627,2413.5393353297336
Upper_arm_SO101,-6.5,1323.699460130271,338722.79690462357,61730.70712976312,11475.316163814048,5019.819977606188,662.9241025685694,296958.71016172046,29908.790856978914,10060.42253321273,2374.8775498831287
Upper_arm_SO101,-5.5,1335.2616079813151,347524.81251648697,62298.70267598293,11679.235014154752,5067.069782825383,664.5122615273501,303865.4256787058,29985.588176740028,10211.975116359326,2381.244303187648
Upper_arm_SO101,-4.5,1346.698609335544,356478.22204101266,62848.66942132989,11884.9615224535,5112.842988455745,674.6985310329729,312574.15198633494,30478.05560496768,10421.198877854078,2422.0732549255395
Upper_arm_SO101,-3.5,1358.1355911935761,365584.5300518261,63398.617382346885,12092.502718523849,5158.615586461019,686.1355213319166,321680.46654716105,31030.864008034492,10640.275884583483,2467.9123517410353
Upper_arm_SO101,-2.5,1369.5725535554125,374845.0344431659,63948.54697619338,12301.85862922678,5204.387586623432,697.5724927536928,330940.9782951489,31583.544620029803,10860.987248488833,2513.7484089415943
Upper_arm_SO101,-1.5,1381.009496421052,384261.0330960332,64498.4586061927,12513.029280217992,5250.158998407581,709.0094452983017,340356.98514126934,32136.103523736383,11083.337195271713,2559.581557571078
Upper_arm_SO101,-0.5,1392.446419790496,393833.82387819217,65048.35266240104,12726.014695994367,5295.929830973236,720.4463789657424,349929.7849836788,32688.546415642224,11307.329820137653,2605.411920712735
Upper_arm_SO101,0.5,1403.8833236637442,403564.70464416826,65598.22952214727,12940.814899938141,5341.700093187415,731.883293756016,359660.6757077213,33240.87863612414,11532.969092781334,2651.23961408448
Upper_arm_SO101,1.5,1415.320208040796,413454.97323525,66148.0895505478,13157.42991435926,5387.469793636,743.3201896691218,369550.9551859268,33793.105196845514,11760.258862145061,2697.0647465816087
Upper_arm_SO101,2.5,1426.7570729216513,423505.92747948813,66697.93310099526,13375.8597605357,5433.238940634682,754.7570667050604,379601.9212780125,34345.230805662795,11989.20286096231,2742.887420772196
Upper_arm_SO101,3.5,1436.1190219508162,431713.46029970737,67092.6600355411,13618.71038178817,5471.833423560291,764.1190219508651,387809.4602989586,34750.32139727722,12233.718746150182,2781.940311120472
Upper_arm_SO101,4.5,1444.2313775727853,438850.67974595365,67402.2227872558,13843.859260442887,5506.5316956401175,772.2313775728251,394946.6797452267,35073.58294078009,12458.867680990877,2817.2408069461753
Upper_arm_SO101,5.5,1451.8297234290158,445582.47279850766,67701.06857960977,14056.218793833012,5541.050398775435,781.0787458670206,401922.8264609311,35445.72021329828,12678.935690293963,2857.286111234263
Upper_arm_SO101,6.5,1458.914059519509,451901.9371459444,67993.08510215601,14255.571249527275,5575.546115852199,798.0040295271576,410135.89725907496,36223.51800533278,12938.023726836185,2931.589964139714
Upper_arm_SO101,7.5,1465.4843858442641,457802.11210637435,68281.05448372517,14441.697053395214,5610.085826277586,825.6859535293895,419912.00915025774,37537.47640165573,13246.419416502824,3050.9036399986853
Upper_arm_SO101,8.5,1471.5407024032816,463275.9786274438,68566.6608343437,14614.374789588572,5644.646153437915,868.1951457285843,431500.3152005702,39583.91499811805,13611.982494369486,3231.4718864310416
Upper_arm_SO101,9.5,1477.0830091965618,468316.45928633475,68850.49392747958,14773.381200520153,5679.11222549786,940.5753496198693,445974.3562422108,43085.28390988553,14068.578695284325,3533.352203338692
Upper_arm_SO101,10.5,1481.9130469933843,472916.04101177165,69103.54415286213,14918.479284286865,5710.914177127967,1481.9130469933878,472916.0410117755,69103.5441528619,14918.47928428698,5710.914177127956
Upper_arm_SO101,11.5,1483.7073431987078,477053.7054487088,68995.55132986043,15049.005995377704,5712.471626051572,1483.7073431987076,477053.7054487089,68995.55132986017,15049.005995377698,5712.4716260515515
Upper_arm_SO101,12.5,1480.1932036740595,480683.3964098709,68240.4088126086,15163.508458691267,5659.736332415487,1480.1932036740568,480683.39640986855,68240.40881260834,15163.508458691185,5659.73633241546
Upper_arm_SO101,13.5,1469.3602049586186,483750.41454653355,66681.03771153235,15260.261153807702,5539.296536998508,1469.3602049586152,483750.4145465298,66681.03771153191,15260.26115380757,5539.296536998467
Upper_arm_SO101,14.5,1447.1295501160134,486192.90483722364,64128.37851230515,15337.312835909397,5335.0624865590535,1447.1295501160089,486192.90483721916,64128.37851230474,15337.312835909248,5335.062486559014
Upper_arm_SO101,15.5,1324.2292228343244,487690.47199891595,59129.77324528078,15384.55616064055,4925.590507951896,1324.2292228343304,487690.4719989226,59129.77324528093,15384.556160640746,4925.590507951929
Upper_arm_SO101,16.5,1244.8209174307206,486690.3251421074,56006.77662675033,15353.006647047814,4667.230375949083,1244.8209174307372,486690.3251421236,56006.77662675132,15353.006647048313,4667.23037594921
Upper_arm_SO101,17.5,1194.0845645011404,485001.4551475797,53856.91135187057,15299.730093507065,4488.07503734289,864.8878451764382,350854.6242885932,52748.15224783217,11067.968868110313,4395.678125314132
Upper_arm_SO101,18.5,1157.8605493934424,483378.00848742184,52281.87576620345,15248.517376544632,4356.822164973378,699.234287306107,291036.33961511485,49088.63590386673,9180.956845019962,4090.718390681307
Upper_arm_SO101,19.5,1131.283258386069,481927.3782045667,51091.42872800832,15202.756285414314,4257.618329657145,608.8695633625243,258218.52766465457,46145.59956686257,8145.694754745147,3845.465403831404
Upper_arm_SO101,20.5,1109.9267617172707,480573.45849512215,50071.56796565108,15160.046003583424,4172.630008749222,554.6994580100218,238969.03135385193,43911.45415291446,7538.455242057823,3659.286696597573
Upper_arm_SO101,21.5,1088.802286526687,479080.49398792005,49057.65137505601,15112.949222212395,4088.137025967025,524.381027632857,229545.1124149735,42343.019277160245,7241.170624287678,3528.5838848597864
